ID,X,Y,ity,1cm,1cmyear,100cm,100cmyear,Date
6240,62,40,浪江,0.26,0.76656,0.24,0.66144,2016-04
6241,62,41,浪江,0.26,0.76656,0.33,1.13448,2016-04
6242,62,42,浪江,,-0.6,,-0.6,2016-04
6139,61,39,浪江,0.33,1.13448,0.42,1.60752,2016-04
6141,61,41,浪江,0.41,1.55496,0.48,1.92288,2016-04
6142,61,42,浪江,0.9,4.1304,1.11,5.23416,2016-04
6042,60,42,浪江,0.4,1.5024,0.5,2.028,2016-04
5943,59,43,浪江,0.36,1.29216,0.41,1.55496,2016-04
5944,59,44,浪江,0.75,3.342,0.71,3.13176,2016-04
5837,58,37,浪江,1.16,5.49696,1.19,5.65464,2016-04
5838,58,38,浪江,1.21,5.75976,1.26,6.02256,2016-04
5843,58,43,浪江,0.36,1.29216,0.34,1.18704,2016-04
5844,58,44,浪江,0.32,1.08192,0.33,1.13448,2016-04
5738,57,38,浪江,1.63,7.96728,1.2,5.7072,2016-04
5739,57,39,浪江,1.06,4.97136,1.33,6.39048,2016-04
5743,57,43,浪江,0.43,1.66008,0.55,2.2908,2016-04
5744,57,44,浪江,0.77,3.44712,1.51,7.33656,2016-04
5633,56,33,浪江,1.47,7.12632,2.02,10.01712,2016-04
5635,56,35,浪江,1.45,7.0212,1.67,8.17752,2016-04
5639,56,39,浪江,1.69,8.28264,3.73,19.00488,2016-04
5640,56,40,浪江,0.86,3.92016,1.23,5.86488,2016-04
5643,56,43,浪江,0.79,3.55224,0.75,3.342,2016-04
5644,56,44,浪江,0.72,3.18432,0.69,3.02664,2016-04
5645,56,45,浪江,0.37,1.34472,0.43,1.66008,2016-04
5646,56,46,浪江,0.43,1.66008,0.45,1.7652,2016-04
5533,55,33,浪江,2.31,11.54136,2.81,14.16936,2016-04
5534,55,34,浪江,1.62,7.91472,2.18,10.85808,2016-04
5540,55,40,浪江,1.35,6.4956,1.01,4.70856,2016-04
5541,55,41,浪江,1.34,6.44304,1.83,9.01848,2016-04
5542,55,42,浪江,1.09,5.12904,1.33,6.39048,2016-04
5543,55,43,浪江,0.65,2.8164,0.74,3.28944,2016-04
5545,55,45,浪江,0.39,1.44984,0.4,1.5024,2016-04
5546,55,46,浪江,0.28,0.87168,0.3,0.9768,2016-04
5547,55,47,浪江,0.45,1.7652,0.38,1.39728,2016-04
5433,54,33,浪江,5.27,27.09912,5.5,28.308,2016-04
5434,54,34,浪江,3.45,17.5332,3.58,18.21648,2016-04
5435,54,35,浪江,2.33,11.64648,2.9,14.6424,2016-04
5436,54,36,浪江,2.45,12.2772,2.32,11.59392,2016-04
5437,54,37,浪江,2.75,13.854,2.85,14.3796,2016-04
5440,54,40,浪江,1.38,6.65328,1.19,5.65464,2016-04
5441,54,41,浪江,0.98,4.55088,1.46,7.07376,2016-04
