ID,X,Y,City,1cm,1cmyear,100cm,100cmyear,Date
6240,62,40,浪江,0.2,0.4512,0.28,0.87168,2016-10
6241,62,41,浪江,0.38,1.39728,0.25,0.714,2016-10
6242,62,42,浪江,,-0.6,,-0.6,2016-10
6139,61,39,浪江,0.23,0.60888,0.34,1.18704,2016-10
6141,61,41,浪江,0.3,0.9768,0.28,0.87168,2016-10
6142,61,42,浪江,0.37,1.34472,0.42,1.60752,2016-10
6042,60,42,浪江,0.3,0.9768,0.37,1.34472,2016-10
5943,59,43,浪江,0.25,0.714,0.35,1.2396,2016-10
5944,59,44,浪江,0.33,1.13448,0.31,1.02936,2016-10
5837,58,37,浪江,0.66,2.86896,0.96,4.44576,2016-10
5838,58,38,浪江,1.18,5.60208,0.86,3.92016,2016-10
5843,58,43,浪江,0.29,0.92424,0.25,0.714,2016-10
5844,58,44,浪江,0.38,1.39728,0.55,2.2908,2016-10
5738,57,38,浪江,1.13,5.33928,1.18,5.60208,2016-10
5739,57,39,浪江,0.95,4.3932,0.96,4.44576,2016-10
5743,57,43,浪江,0.36,1.29216,0.28,0.87168,2016-10
5744,57,44,浪江,0.49,1.97544,0.64,2.76384,2016-10
5633,56,33,浪江,1.73,8.49288,1.8,8.8608,2016-10
5635,56,35,浪江,1.46,7.07376,1.31,6.28536,2016-10
5639,56,39,浪江,1.83,9.01848,2.62,13.17072,2016-10
5640,56,40,浪江,1.05,4.9188,0.98,4.55088,2016-10
5643,56,43,浪江,0.39,1.44984,0.38,1.39728,2016-10
5644,56,44,浪江,0.41,1.55496,0.52,2.13312,2016-10
5645,56,45,浪江,0.27,0.81912,0.39,1.44984,2016-10
5646,56,46,浪江,0.4,1.5024,0.5,2.028,2016-10
5533,55,33,浪江,2.78,14.01168,1.96,9.70176,2016-10
5534,55,34,浪江,1.86,9.17616,1.38,6.65328,2016-10
5540,55,40,浪江,0.63,2.71128,0.8,3.6048,2016-10
5541,55,41,浪江,0.72,3.18432,0.93,4.28808,2016-10
5542,55,42,浪江,0.85,3.8676,0.82,3.70992,2016-10
5543,55,43,浪江,0.7,3.0792,0.51,2.08056,2016-10
5545,55,45,浪江,0.46,1.81776,0.36,1.29216,2016-10
5546,55,46,浪江,0.31,1.02936,0.29,0.92424,2016-10
5547,55,47,浪江,0.28,0.87168,0.27,0.81912,2016-10
5433,54,33,浪江,3.4,17.2704,4.89,25.10184,2016-10
5434,54,34,浪江,3.17,16.06152,2.21,11.01576,2016-10
5435,54,35,浪江,2.42,12.11952,2.22,11.06832,2016-10
5436,54,36,浪江,2.83,14.27448,1.75,8.598,2016-10
5437,54,37,浪江,2.94,14.85264,2.08,10.33248,2016-10
5440,54,40,浪江,1.44,6.96864,1.1,5.1816,2016-10
5441,54,41,浪江,1.5,7.284,1.22,5.81232,2016-10
5442,54,42,浪江,0.88,4.02528,0.98,4.55088,2016-10
5447,54,47,浪江,0.36,1.29216,0.24,0.66144,2016-10
5333,53,33,浪江,1.95,9.6492,1.52,7.38912,2016-10
5334,53,34,浪江,2.94,14.85264,2.33,11.64648,2016-10
5335,53,35,浪江,2.24,11.17344,2.07,10.27992,2016-10
5337,53,37,浪江,3.67,18.68952,2.74,13.80144,2016-10
5338,53,38,浪江,2.42,12.11952,1.92,9.49152,2016-10
5339,53,39,浪江,1.84,9.07104,1.87,9.22872,2016-10
5340,53,40,浪江,2.19,10.91064,1.87,9.22872,2016-10
5342,53,42,浪江,0.78,3.49968,0.97,4.49832,2016-10
5343,53,43,浪江,1.65,8.0724,1.58,7.70448,2016-10
5344,53,44,浪江,,-0.6,,-0.6,2016-10
5234,52,34,浪江,3.35,17.0076,3.02,15.27312,2016-10
5235,52,35,浪江,2.5,12.54,3.72,18.95232,2016-10
5236,52,36,浪江,4.47,22.89432,3.2,16.2192,2016-10
5237,52,37,浪江,2.91,14.69496,2.51,12.59256,2016-10
5238,52,38,浪江,1.18,5.60208,1.27,6.07512,2016-10
5242,52,42,浪江,0.81,3.65736,1,4.656,2016-10
5243,52,43,浪江,1.55,7.5468,1.82,8.96592,2016-10
5244,52,44,浪江,0.7,3.0792,0.86,3.92016,2016-10
5134,51,34,浪江,2.3,11.4888,2.43,12.17208,2016-10
5135,51,35,浪江,2.05,10.1748,2.58,12.96048,2016-10
5137,51,37,浪江,1.35,6.4956,1.52,7.38912,2016-10
5139,51,39,浪江,2.26,11.27856,2.7,13.5912,2016-10
5140,51,40,浪江,2.54,12.75024,1.62,7.91472,2016-10
5142,51,42,浪江,1.12,5.28672,1.12,5.28672,2016-10
5034,50,34,浪江,2.71,13.64376,2.57,12.90792,2016-10
5036,50,36,浪江,4.78,24.52368,4.95,25.4172,2016-10
5037,50,37,浪江,4.04,20.63424,3.67,18.68952,2016-10
5039,50,39,浪江,2.15,10.7004,2.69,13.53864,2016-10
5040,50,40,浪江,2.26,11.27856,3.17,16.06152,2016-10
5041,50,41,浪江,1.69,8.28264,1.87,9.22872,2016-10
5142,51,42,浪江,1.55,7.5468,1.43,6.91608,2016-10
4934,49,34,浪江,2.66,13.38096,2.72,13.69632,2016-10
4935,49,35,浪江,2.66,13.38096,2.73,13.74888,2016-10
4938,49,38,浪江,4.25,21.738,3.71,18.89976,2016-10
4939,49,39,浪江,3.08,15.58848,2.28,11.38368,2016-10
4940,49,40,浪江,3.46,17.58576,3.04,15.37824,2016-10
4942,49,42,浪江,1.23,5.86488,1.4,6.7584,2016-10
4943,49,43,浪江,2.19,10.91064,2.61,13.11816,2016-10
4946,49,46,浪江,0.8,3.6048,0.65,2.8164,2016-10
4834,48,34,浪江,2.55,12.8028,3.28,16.63968,2016-10
4838,48,38,浪江,3.36,17.06016,2.79,14.06424,2016-10
4840,48,40,浪江,1.57,7.65192,2.48,12.43488,2016-10
4843,48,43,浪江,2.02,10.01712,2.16,10.75296,2016-10
4846,48,46,浪江,0.9,4.1304,0.2,0.4512,2016-10
4734,47,34,浪江,2.18,10.85808,2.67,13.43352,2016-10
