ID, Y, X, City, 1cm, 1cmyear, 100cm, 100cmyear, Date
0347,03,47,小高,0.14,0.13584,0.15,0.1884,2019-04
0348,03,48,小高,0.12,0.03072,0.11,-0.02184,2019-04
0349,03,49,小高,0.1,-0.0744,0.09,-0.12696,2019-04
0350,03,50,小高,0.19,0.39864,0.14,0.13584,2019-04
0351,03,51,小高,0.13,0.08328,0.09,-0.12696,2019-04
0352,03,52,小高,0.12,0.03072,0.18,0.34608,2019-04
0433,04,33,原町,0.1,-0.0744,0.09,-0.12696,2019-04
0434,04,34,原町,0.11,-0.02184,0.15,0.1884,2019-04
0435,04,35,原町,0.17,0.29352,0.12,0.03072,2019-04
0436,04,36,原町,0.1,-0.0744,0.07,-0.23208,2019-04
0437,04,37,原町,0.16,0.24096,0.1,-0.0744,2019-04
0438,04,38,原町,0.11,-0.02184,0.15,0.1884,2019-04
0439,04,39,小高,0.07,-0.23208,0.09,-0.12696,2019-04
0443,04,43,小高,0.07,-0.23208,0.14,0.13584,2019-04
0444,04,44,小高,0.12,0.03072,0.09,-0.12696,2019-04
0445,04,45,小高,0.18,0.34608,0.11,-0.02184,2019-04
0446,04,46,小高,0.08,-0.17952,0.14,0.13584,2019-04
0448,04,48,小高,0.13,0.08328,0.11,-0.02184,2019-04
0449,04,49,小高,0.12,0.03072,0.09,-0.12696,2019-04
0450,04,50,小高,0.15,0.1884,0.09,-0.12696,2019-04
0451,04,51,小高,0.07,-0.23208,0.14,0.13584,2019-04
0452,04,52,小高,0.19,0.39864,0.16,0.24096,2019-04
0530,05,30,原町,0.08,-0.17952,0.13,0.08328,2019-04
0531,05,31,原町,0.15,0.1884,0.11,-0.02184,2019-04
0532,05,32,原町,0.13,0.08328,0.11,-0.02184,2019-04
0533,05,33,原町,0.19,0.39864,0.14,0.13584,2019-04
0534,05,34,原町,0.16,0.24096,0.14,0.13584,2019-04
0535,05,35,原町,0.14,0.13584,0.14,0.13584,2019-04
0536,05,36,原町,0.12,0.03072,0.11,-0.02184,2019-04
0537,05,37,原町,0.12,0.03072,0.11,-0.02184,2019-04
0538,05,38,原町,0.14,0.13584,0.12,0.03072,2019-04
0539,05,39,小高,0.08,-0.17952,0.15,0.1884,2019-04
0540,05,40,小高,0.13,0.08328,0.08,-0.17952,2019-04
0541,05,41,小高,0.12,0.03072,0.1,-0.0744,2019-04
0542,05,42,小高,0.11,-0.02184,0.11,-0.02184,2019-04
0543,05,43,小高,0.07,-0.23208,0.12,0.03072,2019-04
0544,05,44,小高,,-0.6,,-0.6,2019-04
0545,05,45,小高,0.14,0.13584,0.07,-0.23208,2019-04
0546,05,46,小高,0.15,0.1884,0.16,0.24096,2019-04
0547,05,47,小高,0.15,0.1884,0.15,0.1884,2019-04
0548,05,48,小高,0.13,0.08328,0.16,0.24096,2019-04
0549,05,49,小高,0.12,0.03072,0.1,-0.0744,2019-04
0550,05,50,小高,0.08,-0.17952,0.13,0.08328,2019-04
0551,05,51,小高,0.25,0.714,0.18,0.34608,2019-04
0552,05,52,小高,0.2,0.4512,0.18,0.34608,2019-04
0622,06,22,原町,0.18,0.34608,0.14,0.13584,2019-04
0623,06,23,原町,0.14,0.13584,0.12,0.03072,2019-04
0624,06,24,原町,0.13,0.08328,0.09,-0.12696,2019-04
0625,06,25,原町,0.18,0.34608,0.1,-0.0744,2019-04
0626,06,26,原町,,-0.6,,-0.6,2019-04
0627,06,27,原町,0.09,-0.12696,0.11,-0.02184,2019-04
