ID,Y,,City,1cm,1cmyear,100cm,100cmyear,Date
2401,1,24,鹿島,0.35,1.2396,0.16,0.24096,2016-04
2101,1,21,鹿島,0.19,0.39864,0.2,0.4512,2016-04
2001,1,20,鹿島,0.16,0.24096,0.14,0.13584,2016-04
1901,1,19,鹿島,0.15,0.1884,0.17,0.29352,2016-04
1801,1,18,鹿島,0.15,0.1884,0.14,0.13584,2016-04
1701,1,17,鹿島,0.12,0.03072,0.14,0.13584,2016-04
1601,1,16,鹿島,0.16,0.24096,0.14,0.13584,2016-04
2502,2,25,鹿島,0.24,0.66144,0.22,0.55632,2016-04
2402,2,24,鹿島,0.61,2.60616,0.28,0.87168,2016-04
2302,2,23,鹿島,0.16,0.24096,0.19,0.39864,2016-04
2202,2,22,鹿島,0.15,0.1884,0.14,0.13584,2016-04
2102,2,21,鹿島,0.15,0.1884,0.12,0.03072,2016-04
2002,2,20,鹿島,0.13,0.08328,0.18,0.34608,2016-04
1902,2,19,鹿島,0.17,0.29352,0.18,0.34608,2016-04
1802,2,18,鹿島,0.28,0.87168,0.2,0.4512,2016-04
1702,2,17,鹿島,0.14,0.13584,0.15,0.1884,2016-04
1602,2,16,鹿島,0.19,0.39864,0.15,0.1884,2016-04
1502,2,15,鹿島,0.12,0.03072,0.13,0.08328,2016-04
1402,2,14,鹿島,0.09,-0.12696,0.13,0.08328,2016-04
1302,2,13,鹿島,0.11,-0.02184,0.15,0.1884,2016-04
2703,3,27,鹿島,0.31,1.02936,0.19,0.39864,2016-04
2503,3,25,鹿島,0.47,1.87032,0.32,1.08192,2016-04
2403,3,24,鹿島,0.57,2.39592,0.24,0.66144,2016-04
2303,3,23,鹿島,0.2,0.4512,0.18,0.34608,2016-04
2203,3,22,鹿島,0.12,0.03072,0.16,0.24096,2016-04
2103,3,21,鹿島,0.15,0.1884,0.13,0.08328,2016-04
2003,3,20,鹿島,0.14,0.13584,0.14,0.13584,2016-04
1903,3,19,鹿島,0.2,0.4512,0.2,0.4512,2016-04
1803,3,18,鹿島,0.26,0.76656,0.23,0.60888,2016-04
1703,3,17,鹿島,0.12,0.03072,0.15,0.1884,2016-04
1603,3,16,鹿島,0.12,0.03072,0.14,0.13584,2016-04
1503,3,15,鹿島,0.14,0.13584,0.13,0.08328,2016-04
1403,3,14,鹿島,0.16,0.24096,0.16,0.24096,2016-04
1303,3,13,鹿島,0.1,-0.0744,0.13,0.08328,2016-04
1203,3,12,鹿島,0.09,-0.12696,0.09,-0.12696,2016-04
1103,3,11,鹿島,0.07,-0.23208,0.11,-0.02184,2016-04
3204,4,32,鹿島,0.44,1.71264,0.28,0.87168,2016-04
3104,4,31,鹿島,0.15,0.1884,0.2,0.4512,2016-04
3004,4,30,鹿島,0.13,0.08328,0.14,0.13584,2016-04
2904,4,29,鹿島,0.32,1.08192,0.28,0.87168,2016-04
2704,4,27,鹿島,0.5,2.028,0.26,0.76656,2016-04
2604,4,26,鹿島,0.34,1.18704,0.25,0.714,2016-04
2504,4,25,鹿島,0.37,1.34472,0.25,0.714,2016-04
2404,4,24,鹿島,0.24,0.66144,0.21,0.50376,2016-04
2304,4,23,鹿島,0.18,0.34608,0.16,0.24096,2016-04
2204,4,22,鹿島,0.15,0.1884,0.15,0.1884,2016-04
2104,4,21,鹿島,0.19,0.39864,0.18,0.34608,2016-04
2004,4,20,鹿島,0.14,0.13584,0.15,0.1884,2016-04
1904,4,19,鹿島,0.17,0.29352,0.17,0.29352,2016-04
1804,4,18,鹿島,0.14,0.13584,0.16,0.24096,2016-04
1704,4,17,鹿島,0.11,-0.02184,0.14,0.13584,2016-04
1604,4,16,鹿島,0.1,-0.0744,0.13,0.08328,2016-04
1504,4,15,鹿島,0.18,0.34608,0.16,0.24096,2016-04
1404,4,14,鹿島,0.1,-0.0744,0.12,0.03072,2016-04
1304,4,13,鹿島,0.15,0.1884,0.15,0.1884,2016-04
1204,4,12,鹿島,0.11,-0.02184,0.11,-0.02184,2016-04
1104,4,11,鹿島,0.07,-0.23208,0.12,0.03072,2016-04
1004,4,10,鹿島,0.1,-0.0744,0.09,-0.12696,2016-04
0904,4,9,鹿島,0.08,-0.17952,0.09,-0.12696,2016-04
3305,5,33,鹿島,0.41,1.55496,0.34,1.18704,2016-04
3205,5,32,鹿島,1.5,7.284,0.4,1.5024,2016-04
3105,5,31,鹿島,0.81,3.65736,0.35,1.2396,2016-04
3005,5,30,鹿島,0.35,1.2396,0.22,0.55632,2016-04
2905,5,29,鹿島,0.22,0.55632,0.17,0.29352,2016-04
2805,5,28,鹿島,0.45,1.7652,0.31,1.02936,2016-04
2705,5,27,鹿島,0.28,0.87168,0.25,0.714,2016-04
2605,5,26,鹿島,0.34,1.18704,0.18,0.34608,2016-04
2305,5,23,鹿島,0.28,0.87168,0.24,0.66144,2016-04
2205,5,22,鹿島,0.17,0.29352,0.2,0.4512,2016-04
2105,5,21,鹿島,0.15,0.1884,0.16,0.24096,2016-04
2005,5,20,鹿島,0.1,-0.0744,0.13,0.08328,2016-04
1905,5,19,鹿島,0.18,0.34608,0.18,0.34608,2016-04
1805,5,18,鹿島,0.17,0.29352,0.16,0.24096,2016-04
1705,5,17,鹿島,0.13,0.08328,0.14,0.13584,2016-04
1605,5,16,鹿島,0.19,0.39864,0.25,0.714,2016-04
1505,5,15,鹿島,0.2,0.4512,0.2,0.4512,2016-04
1405,5,14,鹿島,0.18,0.34608,0.15,0.1884,2016-04
1305,5,13,鹿島,0.19,0.39864,0.19,0.39864,2016-04
1205,5,12,鹿島,0.07,-0.23208,0.13,0.08328,2016-04
1105,5,11,鹿島,0.19,0.39864,0.11,-0.02184,2016-04
1005,5,10,鹿島,0.13,0.08328,0.11,-0.02184,2016-04
0905,5,9,鹿島,0.1,-0.0744,0.1,-0.0744,2016-04
3306,6,33,鹿島,0.63,2.71128,0.29,0.92424,2016-04
3206,6,32,鹿島,0.27,0.81912,0.16,0.24096,2016-04
3106,6,31,鹿島,0.51,2.08056,0.21,0.50376,2016-04
3006,6,30,鹿島,0.43,1.66008,0.28,0.87168,2016-04
2906,6,29,鹿島,0.38,1.39728,0.16,0.24096,2016-04
2806,6,28,鹿島,0.82,3.70992,0.3,0.9768,2016-04
2306,6,23,鹿島,0.15,0.1884,0.14,0.13584,2016-04
2206,6,22,鹿島,0.24,0.66144,0.25,0.714,2016-04
2106,6,21,鹿島,0.17,0.29352,0.15,0.1884,2016-04
2006,6,20,鹿島,0.33,1.13448,0.24,0.66144,2016-04
1906,6,19,鹿島,0.25,0.714,0.19,0.39864,2016-04
1806,6,18,鹿島,0.17,0.29352,0.18,0.34608,2016-04
1706,6,17,鹿島,0.14,0.13584,0.18,0.34608,2016-04
1606,6,16,鹿島,0.12,0.03072,0.23,0.60888,2016-04
1506,6,15,鹿島,0.25,0.714,0.16,0.24096,2016-04
1406,6,14,鹿島,0.14,0.13584,0.16,0.24096,2016-04
1306,6,13,鹿島,0.33,1.13448,0.21,0.50376,2016-04
1206,6,12,鹿島,0.15,0.1884,0.13,0.08328,2016-04
1106,6,11,鹿島,0.12,0.03072,0.14,0.13584,2016-04
1006,6,10,鹿島,0.15,0.1884,0.19,0.39864,2016-04
0906,6,9,鹿島,0.14,0.13584,0.11,-0.02184,2016-04
0806,6,8,鹿島,0.12,0.03072,0.15,0.1884,2016-04
3307,7,33,鹿島,0.49,1.97544,0.35,1.2396,2016-04
3207,7,32,鹿島,0.35,1.2396,0.28,0.87168,2016-04
3107,7,31,鹿島,0.62,2.65872,0.45,1.7652,2016-04
3007,7,30,鹿島,0.46,1.81776,0.34,1.18704,2016-04
2907,7,29,鹿島,0.59,2.50104,0.47,1.87032,2016-04
2307,7,23,鹿島,0.16,0.24096,0.17,0.29352,2016-04
2207,7,22,鹿島,0.15,0.1884,0.16,0.24096,2016-04
2107,7,21,鹿島,0.14,0.13584,0.11,-0.02184,2016-04
2007,7,20,鹿島,0.56,2.34336,0.33,1.13448,2016-04
1907,7,19,鹿島,0.37,1.34472,0.23,0.60888,2016-04
1807,7,18,鹿島,0.3,0.9768,0.25,0.714,2016-04
1707,7,17,鹿島,0.26,0.76656,0.19,0.39864,2016-04
1607,7,16,鹿島,0.15,0.1884,0.11,-0.02184,2016-04
1507,7,15,鹿島,0.25,0.714,0.2,0.4512,2016-04
1407,7,14,鹿島,0.14,0.13584,0.11,-0.02184,2016-04
1307,7,13,鹿島,0.18,0.34608,0.13,0.08328,2016-04
1207,7,12,鹿島,0.22,0.55632,0.19,0.39864,2016-04
1107,7,11,鹿島,0.19,0.39864,0.19,0.39864,2016-04
1007,7,10,鹿島,0.3,0.9768,0.17,0.29352,2016-04
0907,7,9,鹿島,0.1,-0.0744,0.12,0.03072,2016-04
0807,7,8,鹿島,0.11,-0.02184,0.11,-0.02184,2016-04
3008,8,30,鹿島,0.67,2.92152,0.44,1.71264,2016-04
2908,8,29,鹿島,0.38,1.39728,0.24,0.66144,2016-04
2308,8,23,鹿島,0.23,0.60888,0.29,0.92424,2016-04
2208,8,22,鹿島,0.25,0.714,0.19,0.39864,2016-04
2108,8,21,鹿島,0.16,0.24096,0.1,-0.0744,2016-04
2008,8,20,鹿島,0.34,1.18704,0.24,0.66144,2016-04
1908,8,19,鹿島,0.21,0.50376,0.24,0.66144,2016-04
1808,8,18,鹿島,0.3,0.9768,0.18,0.34608,2016-04
1708,8,17,鹿島,0.18,0.34608,0.12,0.03072,2016-04
