X,Y,ID,City,1cm,1cmyear,100cm,100cmyear,Date
62,40,6240,浪江,0.23,0.60888,0.22,0.55632,2017-10
62,41,6241,浪江,0.19,0.39864,0.27,0.81912,2017-10
62,42,6242,浪江,,-0.6,,-0.6,2017-10
61,39,6139,浪江,0.26,0.76656,0.26,0.76656,2017-10
61,41,6141,浪江,0.23,0.60888,0.2,0.4512,2017-10
61,42,6142,浪江,,-0.6,,-0.6,2017-10
60,42,6042,浪江,0.2,0.4512,0.24,0.66144,2017-10
59,43,5943,浪江,0.35,1.2396,0.31,1.02936,2017-10
59,44,5944,浪江,0.26,0.76656,0.35,1.2396,2017-10
58,37,5837,浪江,0.45,1.7652,0.63,2.71128,2017-10
58,38,5838,浪江,0.85,3.8676,0.81,3.65736,2017-10
58,43,5843,浪江,0.32,1.08192,0.28,0.87168,2017-10
58,44,5844,浪江,0.42,1.60752,0.42,1.60752,2017-10
57,38,5738,浪江,0.79,3.55224,0.68,2.97408,2017-10
57,39,5739,浪江,0.85,3.8676,0.93,4.28808,2017-10
57,43,5743,浪江,0.34,1.18704,0.33,1.13448,2017-10
57,44,5744,浪江,0.45,1.7652,0.51,2.08056,2017-10
56,33,5633,浪江,1.2,5.7072,1.68,8.23008,2017-10
56,35,5635,浪江,0.88,4.02528,1.2,5.7072,2017-10
56,39,5639,浪江,0.94,4.34064,1.3,6.2328,2017-10
56,40,5640,浪江,0.76,3.39456,0.83,3.76248,2017-10
56,43,5643,浪江,0.46,1.81776,0.45,1.7652,2017-10
56,44,5644,浪江,0.56,2.34336,0.6,2.5536,2017-10
56,45,5645,浪江,0.32,1.08192,0.36,1.29216,2017-10
56,46,5646,浪江,0.3,0.9768,0.3,0.9768,2017-10
55,33,5533,浪江,1.77,8.70312,2.02,10.01712,2017-10
55,34,5534,浪江,1.45,7.0212,1.35,6.4956,2017-10
55,40,5540,浪江,0.72,3.18432,0.86,3.92016,2017-10
55,41,5541,浪江,1.26,6.02256,1.88,9.28128,2017-10
55,42,5542,浪江,0.78,3.49968,0.81,3.65736,2017-10
55,43,5543,浪江,0.64,2.76384,0.5,2.028,2017-10
55,45,5545,浪江,0.32,1.08192,0.27,0.81912,2017-10
55,46,5546,浪江,0.26,0.76656,0.28,0.87168,2017-10
55,47,5547,浪江,0.3,0.9768,0.3,0.9768,2017-10
54,33,5433,浪江,3.06,15.48336,2.88,14.53728,2017-10
54,34,5434,浪江,2.71,13.64376,2.87,14.48472,2017-10
54,35,5435,浪江,1.33,6.39048,1.61,7.86216,2017-10
54,36,5436,浪江,1.75,8.598,1.41,6.81096,2017-10
54,37,5437,浪江,2.35,11.7516,2.16,10.75296,2017-10
54,40,5440,浪江,1.07,5.02392,0.81,3.65736,2017-10
54,41,5441,浪江,1.45,7.0212,0.9,4.1304,2017-10
54,42,5442,浪江,2.65,13.3284,2.1,10.4376,2017-10
54,47,5447,浪江,0.24,0.66144,0.27,0.81912,2017-10
53,33,5333,浪江,1.44,6.96864,1.65,8.0724,2017-10
53,34,5334,浪江,1.95,9.6492,2.51,12.59256,2017-10
53,35,5335,浪江,1.63,7.96728,1.53,7.44168,2017-10
53,37,5337,浪江,1.62,7.91472,1.52,7.38912,2017-10
53,38,5338,浪江,1.15,5.4444,1.84,9.07104,2017-10
53,39,5339,浪江,0.92,4.23552,1.01,4.70856,2017-10
53,40,5340,浪江,1.54,7.49424,1.37,6.60072,2017-10
53,42,5342,浪江,2.12,10.54272,1.2,5.7072,2017-10
53,43,5343,浪江,3.03,15.32568,1.9,9.3864,2017-10
53,44,5344,浪江,,-0.6,,-0.6,2017-10
52,34,5234,浪江,2.18,10.85808,2.29,11.43624,2017-10
52,35,5235,浪江,1.68,8.23008,2.17,10.80552,2017-10
52,36,5236,浪江,2.14,10.64784,2.47,12.38232,2017-10
52,37,5237,浪江,1.31,6.28536,1.52,7.38912,2017-10
52,38,5238,浪江,0.83,3.76248,1.1,5.1816,2017-10
52,42,5242,浪江,,-0.6,,-0.6,2017-10
52,43,5243,浪江,1.81,8.91336,1.32,6.33792,2017-10
52,44,5244,浪江,2.43,12.17208,1.59,7.75704,2017-10
51,34,5134,浪江,2.68,13.48608,2.05,10.1748,2017-10
51,35,5135,浪江,2.27,11.33112,2.24,11.17344,2017-10
51,37,5137,浪江,1.11,5.23416,2.1,10.4376,2017-10
51,39,5139,浪江,3.03,15.32568,2.9,14.6424,2017-10
51,40,5140,浪江,2.75,13.854,2.18,10.85808,2017-10
51,42,5142,浪江,1.19,5.65464,1.28,6.12768,2017-10
50,34,5034,浪江,3.3,16.7448,1.67,8.17752,2017-10
50,36,5036,浪江,3.84,19.58304,3.23,16.37688,2017-10
50,37,5037,浪江,2.9,14.6424,1.91,9.43896,2017-10
50,39,5039,浪江,1.82,8.96592,1.96,9.70176,2017-10
50,40,5040,浪江,1.56,7.59936,2.18,10.85808,2017-10
50,41,5041,浪江,1.52,7.38912,1.6,7.8096,2017-10
51,42,5142,浪江,1.02,4.76112,1.37,6.60072,2017-10
49,34,4934,浪江,2.75,13.854,2.63,13.22328,2017-10
49,35,4935,浪江,1.62,7.91472,1.69,8.28264,2017-10
49,38,4938,浪江,3,15.168,2.42,12.11952,2017-10
49,39,4939,浪江,1.9,9.3864,1.92,9.49152,2017-10
49,40,4940,浪江,2.15,10.7004,3.2,16.2192,2017-10
49,42,4942,浪江,1.19,5.65464,0.84,3.81504,2017-10
49,43,4943,浪江,2.03,10.06968,2.85,14.3796,2017-10
49,46,4946,浪江,0.66,2.86896,1.18,5.60208,2017-10
48,34,4834,浪江,2.07,10.27992,2.16,10.75296,2017-10
48,38,4838,浪江,2.43,12.17208,2.34,11.69904,2017-10
48,40,4840,浪江,1.45,7.0212,1.26,6.02256,2017-10
48,43,4843,浪江,2.2,10.9632,1.9,9.3864,2017-10
48,46,4846,浪江,1.5,7.284,1.41,6.81096,2017-10
47,34,4734,浪江,1.41,6.81096,1.48,7.17888,2017-10
47,35,4735,浪江,1.17,5.54952,1.21,5.75976,2017-10
47,39,4739,浪江,1.41,6.81096,1.33,6.39048,2017-10
47,41,4741,浪江,1.27,6.07512,1.69,8.28264,2017-10
47,42,4742,浪江,1.13,5.33928,1.3,6.2328,2017-10
47,43,4743,浪江,0.84,3.81504,1.38,6.65328,2017-10
47,46,4746,浪江,0.88,4.02528,0.78,3.49968,2017-10
47,47,4747,浪江,1.4,6.7584,2.23,11.12088,2017-10
46,36,4636,浪江,1.03,4.81368,1.09,5.12904,2017-10
46,37,4637,浪江,1.02,4.76112,1.03,4.81368,2017-10
46,39,4639,浪江,1.51,7.33656,1.74,8.54544,2017-10
46,41,4641,浪江,1.85,9.1236,1.43,6.91608,2017-10
46,42,4642,浪江,2.3,11.4888,2.05,10.1748,2017-10
46,43,4643,浪江,1.17,5.54952,1.81,8.91336,2017-10
46,44,4644,浪江,1.66,8.12496,1.78,8.75568,2017-10
46,46,4646,浪江,1.82,8.96592,1.6,7.8096,2017-10
46,47,4647,浪江,1.34,6.44304,1.5,7.284,2017-10
45,37,4537,浪江,1.67,8.17752,1.48,7.17888,2017-10
45,38,4538,浪江,1.61,7.86216,1.43,6.91608,2017-10
45,39,4539,浪江,1.17,5.54952,1.51,7.33656,2017-10
45,40,4540,浪江,1.64,8.01984,1.49,7.23144,2017-10
45,41,4541,浪江,4.4,22.5264,2.5,12.54,2017-10
45,43,4543,浪江,1.17,5.54952,1.56,7.59936,2017-10
45,44,4544,浪江,1.3,6.2328,1.6,7.8096,2017-10
45,45,4545,浪江,1.73,8.49288,1.65,8.0724,2017-10
44,36,4436,浪江,0.58,2.44848,0.9,4.1304,2017-10
44,40,4440,浪江,1.31,6.28536,0.87,3.97272,2017-10
44,41,4441,浪江,1.31,6.28536,1.73,8.49288,2017-10
44,45,4445,浪江,1.68,8.23008,2.18,10.85808,2017-10
44,46,4446,浪江,0.68,2.97408,0.79,3.55224,2017-10
43,41,4341,浪江,2.35,11.7516,2.28,11.38368,2017-10
43,45,4345,浪江,1.62,7.91472,2.15,10.7004,2017-10
43,47,4347,浪江,1.46,7.07376,1.5,7.284,2017-10
42,41,4241,浪江,4.51,23.10456,3.59,18.26904,2017-10
42,45,4245,浪江,1.44,6.96864,1.77,8.70312,2017-10
42,46,4246,浪江,1.13,5.33928,1.68,8.23008,2017-10
42,47,4247,浪江,1.98,9.80688,2.79,14.06424,2017-10
41,42,4142,浪江,2.23,11.12088,2.98,15.06288,2017-10
40,42,4042,浪江,3.03,15.32568,4.24,21.68544,2017-10
40,44,4044,浪江,4.04,20.63424,1.29,6.18024,2017-10
39,42,3942,浪江,4.28,21.89568,3.65,18.5844,2017-10
39,43,3943,浪江,5.01,25.73256,5.38,27.67728,2017-10
38,43,3843,浪江,2.49,12.48744,1.68,8.23008,2017-10
37,44,3744,浪江,1.86,9.17616,2.24,11.17344,2017-10
37,45,3745,浪江,4.01,20.47656,2.66,13.38096,2017-10
37,46,3746,浪江,1.83,9.01848,2.9,14.6424,2017-10
36,46,3646,浪江,2.98,15.06288,3.22,16.32432,2017-10
35,46,3546,浪江,1.64,8.01984,1.92,9.49152,2017-10
34,46,3446,浪江,1.31,6.28536,1.37,6.60072,2017-10
33,46,3346,浪江,2.1,10.4376,1.73,8.49288,2017-10
33,49,3349,浪江,2.96,14.95776,3.57,18.16392,2017-10
33,55,3355,浪江,1.41,6.81096,1.4,6.7584,2017-10
33,56,3356,浪江,0.99,4.60344,1.07,5.02392,2017-10
33,57,3357,浪江,0.76,3.39456,1.08,5.07648,2017-10
33,58,3358,浪江,0.37,1.34472,0.67,2.92152,2017-10
33,59,3359,浪江,0.68,2.97408,0.64,2.76384,2017-10
33,60,3360,浪江,0.37,1.34472,0.44,1.71264,2017-10
33,61,3361,浪江,0.55,2.2908,0.54,2.23824,2017-10
33,62,3362,浪江,0.43,1.66008,0.44,1.71264,2017-10
33,63,3363,浪江,0.44,1.71264,0.55,2.2908,2017-10
33,64,3364,浪江,0.39,1.44984,0.38,1.39728,2017-10
33,65,3365,浪江,0.89,4.07784,0.69,3.02664,2017-10
32,48,3248,浪江,3.69,18.79464,3.8,19.3728,2017-10
32,49,3249,浪江,2.52,12.64512,2.72,13.69632,2017-10
32,54,3254,浪江,4.97,25.52232,6.8,35.1408,2017-10
32,55,3255,浪江,2.52,12.64512,3.1,15.6936,2017-10
32,65,3265,浪江,0.37,1.34472,0.43,1.66008,2017-10
31,49,3149,浪江,2.03,10.06968,2.9,14.6424,2017-10
31,54,3154,浪江,2.93,14.80008,3.23,16.37688,2017-10
31,64,3164,浪江,0.76,3.39456,0.97,4.49832,2017-10
31,65,3165,浪江,0.42,1.60752,0.39,1.44984,2017-10
30,53,3053,浪江,6.52,33.66912,7.62,39.45072,2017-10
30,54,3054,浪江,2.28,11.38368,3.41,17.32296,2017-10
30,63,3063,浪江,0.98,4.55088,0.96,4.44576,2017-10
29,50,2950,浪江,1.31,6.28536,1.6,7.8096,2017-10
29,52,2952,浪江,3.76,19.16256,3.82,19.47792,2017-10
29,53,2953,浪江,3.58,18.21648,4.16,21.26496,2017-10
28,52,2852,浪江,1.34,6.44304,2.15,10.7004,2017-10
28,53,2853,浪江,1.57,7.65192,1.98,9.80688,2017-10
27,53,2753,浪江,1.34,6.44304,1.59,7.75704,2017-10
27,63,2763,浪江,4.06,20.73936,1.34,6.44304,2017-10
26,53,2653,浪江,1.89,9.33384,1.87,9.22872,2017-10
26,63,2663,浪江,1.73,8.49288,2.74,13.80144,2017-10
25,53,2553,浪江,1.37,6.60072,1.59,7.75704,2017-10
25,54,2554,浪江,1.66,8.12496,1.2,5.7072,2017-10
25,55,2555,浪江,2.21,11.01576,2.68,13.48608,2017-10
25,63,2563,浪江,2.53,12.69768,2.58,12.96048,2017-10
24,53,2453,浪江,0.61,2.60616,1.23,5.86488,2017-10
24,54,2454,浪江,1.56,7.59936,1.43,6.91608,2017-10
24,55,2455,浪江,0.74,3.28944,1.33,6.39048,2017-10
24,63,2463,浪江,4.31,22.05336,3.09,15.64104,2017-10
23,53,2353,浪江,5.03,25.83768,2.67,13.43352,2017-10
23,54,2354,浪江,0.97,4.49832,1.1,5.1816,2017-10
23,63,2363,浪江,4.43,22.68408,4.86,24.94416,2017-10
22,49,2249,浪江,0.65,2.8164,0.76,3.39456,2017-10
22,50,2250,浪江,0.45,1.7652,0.51,2.08056,2017-10
22,51,2251,浪江,0.52,2.13312,0.74,3.28944,2017-10
22,52,2252,浪江,0.38,1.39728,0.38,1.39728,2017-10
22,53,2253,浪江,0.32,1.08192,0.34,1.18704,2017-10
22,54,2254,浪江,0.94,4.34064,1.2,5.7072,2017-10
22,63,2263,浪江,6,30.936,4.33,22.15848,2017-10
21,49,2149,浪江,0.6,2.5536,0.6,2.5536,2017-10
21,50,2150,浪江,0.38,1.39728,0.42,1.60752,2017-10
21,51,2151,浪江,0.31,1.02936,0.4,1.5024,2017-10
21,52,2152,浪江,0.36,1.29216,0.33,1.13448,2017-10
21,53,2153,浪江,0.49,1.97544,0.49,1.97544,2017-10
21,54,2154,浪江,0.62,2.65872,0.72,3.18432,2017-10
21,55,2155,浪江,0.78,3.49968,0.77,3.44712,2017-10
21,57,2157,浪江,1.21,5.75976,1.1,5.1816,2017-10
21,58,2158,浪江,1.8,8.8608,1.56,7.59936,2017-10
21,59,2159,浪江,1.26,6.02256,2.46,12.32976,2017-10
21,62,2162,浪江,3.67,18.68952,2.87,14.48472,2017-10
20,49,2049,浪江,0.61,2.60616,0.67,2.92152,2017-10
20,50,2050,浪江,0.3,0.9768,0.36,1.29216,2017-10
20,51,2051,浪江,0.55,2.2908,0.54,2.23824,2017-10
20,52,2052,浪江,0.21,0.50376,0.3,0.9768,2017-10
20,53,2053,浪江,1.38,6.65328,1.5,7.284,2017-10
20,54,2054,浪江,0.86,3.92016,1.45,7.0212,2017-10
20,55,2055,浪江,1.01,4.70856,0.6,2.5536,2017-10
20,56,2056,浪江,0.8,3.6048,0.81,3.65736,2017-10
20,57,2057,浪江,0.63,2.71128,0.83,3.76248,2017-10
20,58,2058,浪江,0.55,2.2908,0.62,2.65872,2017-10
20,59,2059,浪江,0.4,1.5024,0.6,2.5536,2017-10
20,60,2060,浪江,1.32,6.33792,2.36,11.80416,2017-10
20,61,2061,浪江,0.88,4.02528,1.17,5.54952,2017-10
20,62,2062,浪江,5.04,25.89024,4.76,24.41856,2017-10
20,63,2063,浪江,5.03,25.83768,4.12,21.05472,2017-10
19,50,1950,浪江,0.42,1.60752,0.31,1.02936,2017-10
19,51,1951,浪江,0.45,1.7652,0.51,2.08056,2017-10
19,52,1952,浪江,0.63,2.71128,0.64,2.76384,2017-10
19,53,1953,浪江,0.49,1.97544,0.34,1.18704,2017-10
19,54,1954,浪江,0.38,1.39728,0.49,1.97544,2017-10
19,55,1955,浪江,0.9,4.1304,0.7,3.0792,2017-10
19,56,1956,浪江,1.05,4.9188,0.5,2.028,2017-10
19,57,1957,浪江,0.81,3.65736,0.8,3.6048,2017-10
19,58,1958,浪江,0.77,3.44712,1.44,6.96864,2017-10
19,59,1959,浪江,0.91,4.18296,0.56,2.34336,2017-10
19,60,1960,浪江,0.69,3.02664,0.88,4.02528,2017-10
19,61,1961,浪江,1.03,4.81368,0.51,2.08056,2017-10
19,62,1962,浪江,3.58,18.21648,3.62,18.42672,2017-10
19,63,1963,浪江,1.98,9.80688,1.11,5.23416,2017-10
19,64,1964,浪江,6.4,33.0384,6.04,31.14624,2017-10
19,65,1965,浪江,2.32,11.59392,1.65,8.0724,2017-10
19,66,1966,浪江,7.87,40.76472,6.61,34.14216,2017-10
19,67,1967,浪江,2.56,12.85536,2.24,11.17344,2017-10
18,50,1850,浪江,0.49,1.97544,0.91,4.18296,2017-10
18,51,1851,浪江,0.46,1.81776,0.56,2.34336,2017-10
18,52,1852,浪江,0.23,0.60888,0.29,0.92424,2017-10
18,53,1853,浪江,0.38,1.39728,0.27,0.81912,2017-10
18,54,1854,浪江,0.39,1.44984,0.49,1.97544,2017-10
18,55,1855,浪江,0.82,3.70992,0.41,1.55496,2017-10
18,56,1856,浪江,0.43,1.66008,0.56,2.34336,2017-10
18,58,1858,浪江,0.25,0.714,0.3,0.9768,2017-10
