Date,City,ID,X,Y,1cm,100cm
9/3/2022,富岡町,1282,12,82,0.2,0.34
9/3/2022,富岡町,1382,13,82,0.26,0.56
9/17/2022,富岡町,1682,16,82,0.17,0.21
9/3/2022,富岡町,1083,10,83,0.37,0.45
9/3/2022,富岡町,1183,11,83,0.21,0.23
9/3/2022,富岡町,1283,12,83,0.31,0.33
9/17/2022,富岡町,1683,16,83,0.14,0.16
8/12/2022,富岡町,0784,07,84,0.83,0.94
9/3/2022,富岡町,0984,09,84,0.43,0.52
9/3/2022,富岡町,1084,10,84,0.32,0.79
9/3/2022,富岡町,1184,11,84,0.9,0.38
9/3/2022,富岡町,1284,12,84,0.18,0.15
9/3/2022,富岡町,1384,13,84,0.11,0.18
8/12/2022,富岡町,0685,06,85,0.69,0.93
8/12/2022,富岡町,0785,07,85,0.28,0.5
8/12/2022,富岡町,0885,08,85,1.65,0.99
9/3/2022,富岡町,0985,09,85,0.12,0.17
9/3/2022,富岡町,1085,10,85,0.23,0.37
9/3/2022,富岡町,1185,11,85,0.16,0.24
9/3/2022,富岡町,1285,12,85,0.11,0.16
9/3/2022,富岡町,1385,13,85,0.11,0.15
9/17/2022,富岡町,1585,15,85,0.13,0.16
9/17/2022,富岡町,1685,16,85,0.2,0.19
8/12/2022,富岡町,0786,07,86,0.2,0.2
8/12/2022,富岡町,0886,08,86,0.21,0.21
9/3/2022,富岡町,0986,09,86,0.19,0.23
9/3/2022,富岡町,1086,10,86,0.16,0.19
9/3/2022,富岡町,1186,11,86,0.14,0.15
9/3/2022,富岡町,1286,12,86,0.17,0.18
9/3/2022,富岡町,1386,13,86,0.11,0.18
9/17/2022,富岡町,1486,14,86,0.11,0.19
9/17/2022,富岡町,1586,15,86,0.14,0.23
9/17/2022,富岡町,1686,16,86,0.13,0.21
9/19/2022,富岡町,1786,17,86,0.18,0.22
9/19/2022,富岡町,1886,18,86,0.16,0.17
9/19/2022,富岡町,1986,19,86,0.25,0.33
8/12/2022,富岡町,0687,06,87,0.26,0.69
8/12/2022,富岡町,0787,07,87,0.2,0.28
8/12/2022,富岡町,0887,08,87,0.18,0.25
9/3/2022,富岡町,0987,09,87,0.82,0.48
9/3/2022,富岡町,1087,10,87,0.13,0.22
9/3/2022,富岡町,1187,11,87,0.16,0.21
9/3/2022,富岡町,1287,12,87,0.11,0.11
9/3/2022,富岡町,1387,13,87,0.123,0.13
9/17/2022,富岡町,1487,14,87,0.11,0.19
9/17/2022,富岡町,1587,15,87,0.13,0.16
9/17/2022,富岡町,1687,16,87,0.22,0.32
9/19/2022,富岡町,1887,18,87,0.15,0.23
9/19/2022,富岡町,2087,20,87,0.2,0.22
9/19/2022,富岡町,2187,21,87,0.18,0.2
9/19/2022,富岡町,2287,22,87,0.22,0.26
9/19/2022,富岡町,2387,23,87,0.29,0.35
8/12/2022,富岡町,0388,03,88,0.15,0.2
8/12/2022,富岡町,0488,04,88,0.23,0.25
8/12/2022,富岡町,0688,06,88,0.36,0.45
8/12/2022,富岡町,0788,07,88,0.16,0.16
8/12/2022,富岡町,0888,08,88,0.69,0.67
9/3/2022,富岡町,0988,09,88,0.13,0.16
9/3/2022,富岡町,1088,10,88,0.19,0.24
9/3/2022,富岡町,1188,11,88,0.25,0.42
9/3/2022,富岡町,1288,12,88,0.15,0.24
9/3/2022,富岡町,1388,13,88,0.2,0.27
9/17/2022,富岡町,1488,14,88,0.12,0.16
9/17/2022,富岡町,1588,15,88,0.21,0.27
9/19/2022,富岡町,1888,18,88,0.26,0.31
8/12/2022,富岡町,0489,04,89,0.14,0.22
8/12/2022,富岡町,0589,05,89,0.18,0.2
8/12/2022,富岡町,0689,06,89,0.24,0.39
8/12/2022,富岡町,0789,07,89,0.13,0.14
8/12/2022,富岡町,0889,08,89,0.16,0.34
9/3/2022,富岡町,0989,09,89,0.27,0.45
9/3/2022,富岡町,1089,10,89,0.21,0.21
9/3/2022,富岡町,1189,11,89,0.31,0.47
9/17/2022,富岡町,1589,15,89,0.16,0.19
9/17/2022,富岡町,1689,16,89,0.11,0.15
9/19/2022,富岡町,1989,19,89,0.29,0.39
10/11/2022,富岡町,0490,04,90,0.21,0.38
10/11/2022,富岡町,0590,05,90,0.13,0.14
10/11/2022,富岡町,0690,06,90,0.17,0.18
11/25/2022,富岡町,0790,07,90,0.15,0.16
11/25/2022,富岡町,0890,08,90,0.22,0.18
11/25/2022,富岡町,0990,09,90,0.24,0.34
9/12/2022,富岡町,1090,10,90,0.35,0.59
9/12/2022,富岡町,1190,11,90,0.35,0.5
9/12/2022,富岡町,1290,12,90,0.21,0.27
9/17/2022,富岡町,1590,15,90,0.11,0.14
9/17/2022,富岡町,1690,16,90,0.21,0.3
10/11/2022,富岡町,0491,04,91,0.06,0.07
10/11/2022,富岡町,0591,05,91,0.07,0.07
10/11/2022,富岡町,0691,06,91,0.11,0.14
10/11/2022,富岡町,0791,07,91,0.25,0.19
10/11/2022,富岡町,0891,08,91,0.12,0.17
10/11/2022,富岡町,0991,09,91,0.13,0.22
9/12/2022,富岡町,1191,11,91,0.15,0.16
9/17/2022,富岡町,1491,14,91,0.24,0.27
9/17/2022,富岡町,1591,15,91,0.21,0.24
9/17/2022,富岡町,1691,16,91,0.13,0.15
10/11/2022,富岡町,0492,04,92,0.09,0.08
10/11/2022,富岡町,0592,05,92,0.09,0.09
11/25/2022,富岡町,0692,06,92,0.25,0.21
10/11/2022,富岡町,0792,07,92,0.16,0.19
10/11/2022,富岡町,0892,08,92,0.12,0.17
10/11/2022,富岡町,0992,09,92,0.28,0.29
9/12/2022,富岡町,1192,11,92,0.11,0.13
9/12/2022,富岡町,1592,15,92,0.2,0.16
9/12/2022,富岡町,1692,16,92,0.24,0.32
10/11/2022,富岡町,0493,04,93,0.14,0.16
10/11/2022,富岡町,0593,05,93,0.09,0.15
10/11/2022,富岡町,0693,06,93,0.11,0.11
10/11/2022,富岡町,0793,07,93,0.11,0.17
10/11/2022,富岡町,0893,08,93,0.16,0.16
10/11/2022,富岡町,0993,09,93,0.15,0.17
9/12/2022,富岡町,1093,10,93,0.11,0.14
9/12/2022,富岡町,1193,11,93,0.18,0.25
9/12/2022,富岡町,1293,12,93,0.15,0.22
9/12/2022,富岡町,1393,13,93,0.1,0.14
9/12/2022,富岡町,1493,14,93,0.17,0.26
9/12/2022,富岡町,1593,15,93,0.21,0.26
10/11/2022,富岡町,0494,04,94,0.05,0.07
10/11/2022,富岡町,0594,05,94,0.08,0.07
10/11/2022,富岡町,0694,06,94,0.1,0.11
