,15期,,5～14期,,３～4期,,１～2期,,,,,,,,
,SN,EW,旧（SN),旧（EW),旧（SN),旧（EW),旧（SN),旧（EW),地域,,,lookup,,,newid
1,37,58,チ,8,8,8,―,―,浪江,01,,8チ,58,37,5837
2,38,58,リ,8,9,8,―,―,浪江,01,,8リ,58,38,5838
3,38,57,リ,9,9,9,―,―,浪江,01,,9リ,57,38,5738
4,39,57,ヌ,9,10,9,―,―,浪江,01,,9ヌ,57,39,5739
5,33,56,二,10,4,10,―,―,浪江,01,,10二,56,33,5633
6,35,56,ヘ,10,6,10,―,―,浪江,01,,10ヘ,56,35,5635
7,39,56,ヌ,10,10,10,―,―,浪江,01,,10ヌ,56,39,5639
8,40,56,ル,10,11,10,―,―,浪江,01,,10ル,56,40,5640
9,33,55,二,11,4,11,―,―,浪江,01,,11二,55,33,5533
10,34,55,ホ,11,5,11,―,―,浪江,01,,11ホ,55,34,5534
11,40,55,ル,11,11,11,―,―,浪江,01,,11ル,55,40,5540
12,33,54,二,12,4,12,―,―,浪江,01,,12二,54,33,5433
13,34,54,ホ,12,5,12,―,―,浪江,01,,12ホ,54,34,5434
14,35,54,ヘ,12,6,12,―,―,浪江,01,,12ヘ,54,35,5435
15,36,54,ト,12,7,12,―,―,浪江,01,,12ト,54,36,5436
16,37,54,チ,12,8,12,―,―,浪江,01,,12チ,54,37,5437
17,40,54,ル,12,11,12,―,―,浪江,01,,12ル,54,40,5440
18,33,53,二,13,4,13,―,―,浪江,01,,13二,53,33,5333
19,34,53,ホ,13,5,13,―,―,浪江,01,,13ホ,53,34,5334
20,35,53,ヘ,13,6,13,―,―,浪江,01,,13ヘ,53,35,5335
21,37,53,チ,13,8,13,―,―,浪江,01,,13チ,53,37,5337
22,38,53,リ,13,9,13,―,―,浪江,01,,13リ,53,38,5338
23,39,53,ヌ,13,10,13,―,―,浪江,01,,13ヌ,53,39,5339
24,40,53,ル,13,11,13,―,―,浪江,01,,13ル,53,40,5340
25,35,52,ヘ,14,6,14,―,―,浪江,01,,14ヘ,52,35,5235
26,36,52,ト,14,7,14,―,―,浪江,01,,14ト,52,36,5236
27,37,52,チ,14,8,14,―,―,浪江,01,,14チ,52,37,5237
28,38,52,リ,14,9,14,―,―,浪江,01,,14リ,52,38,5238
29,37,51,チ,15,8,15,―,―,浪江,01,,15チ,51,37,5137
30,39,51,ヌ,15,10,15,―,―,浪江,01,,15ヌ,51,39,5139
31,40,51,ル,15,11,15,―,―,浪江,01,,15ル,51,40,5140
1,40,62,ル,4,11,4,―,―,浪江,02,,4ル,62,40,6240
2,41,62,ヲ,4,12,4,―,―,浪江,02,,4ヲ,62,41,6241
3,42,62,ワ,4,13,4,―,―,浪江,02,,4ワ,62,42,6242
4,39,61,ヌ,5,10,5,―,―,浪江,02,,5ヌ,61,39,6139
5,41,61,ヲ,5,12,5,―,―,浪江,02,,5ヲ,61,41,6141
6,42,61,ワ,5,13,5,―,―,浪江,02,,5ワ,61,42,6142
7,42,60,ワ,6,13,6,―,―,浪江,02,,6ワ,60,42,6042
8,43,59,カ,7,14,7,―,―,浪江,02,,7カ,59,43,5943
9,44,59,ヨ,7,15,7,―,―,浪江,02,,7ヨ,59,44,5944
10,43,58,カ,8,14,8,―,―,浪江,02,,8カ,58,43,5843
11,44,58,ヨ,8,15,8,―,―,浪江,02,,8ヨ,58,44,5844
12,43,57,カ,9,14,9,―,―,浪江,02,,9カ,57,43,5743
13,44,57,ヨ,9,15,9,―,―,浪江,02,,9ヨ,57,44,5744
14,43,56,カ,10,14,10,―,―,浪江,02,,10カ,56,43,5643
15,44,56,ヨ,10,15,10,―,―,浪江,02,,10ヨ,56,44,5644
16,45,56,タ,10,16,10,―,―,浪江,02,,10タ,56,45,5645
17,46,56,レ,10,17,10,―,―,浪江,02,,10レ,56,46,5646
18,41,55,ヲ,11,12,11,―,―,浪江,02,,11ヲ,55,41,5541
19,42,55,ワ,11,13,11,―,―,浪江,02,,11ワ,55,42,5542
20,43,55,カ,11,14,11,―,―,浪江,02,,11カ,55,43,5543
21,45,55,タ,11,16,11,―,―,浪江,02,,11タ,55,45,5545
22,46,55,レ,11,17,11,―,―,浪江,02,,11レ,55,46,5546
23,47,55,ソ,11,18,11,―,―,浪江,02,,11ソ,55,47,5547
24,41,54,ヲ,12,12,12,―,―,浪江,02,,12ヲ,54,41,5441
25,42,54,ワ,12,13,12,―,―,浪江,02,,12ワ,54,42,5442
26,47,54,ソ,12,18,12,―,―,浪江,02,,12ソ,54,47,5447
27,42,53,ワ,13,13,13,―,―,浪江,02,,13ワ,53,42,5342
28,43,53,カ,13,14,13,―,―,浪江,02,,13カ,53,43,5343
29,44,53,ヨ,13,15,13,―,―,浪江,02,,13ヨ,53,44,5344
30,42,52,ワ,14,13,14,―,―,浪江,02,,14ワ,52,42,5242
31,43,52,カ,14,14,14,―,―,浪江,02,,14カ,52,43,5243
32,44,52,ヨ,14,15,14,―,―,浪江,02,,14ヨ,52,44,5244
1,34,52,ホ,14,5,14,―,―,浪江,03,,14ホ,52,34,5234
2,35,52,ヘ,14,6,14,―,―,浪江,03,,14ヘ,52,35,5235
3,34,51,ホ,15,5,15,―,―,浪江,03,,15ホ,51,34,5134
4,35,51,ヘ,15,6,15,―,―,浪江,03,,15ヘ,51,35,5135
5,34,50,ホ,16,5,16,―,―,浪江,03,,16ホ,50,34,5034
