ID,X,Y,City,1cm,100cm
62-40,62,40,浪江,0.31,0.15
62-41,62,41,浪江,0.3,0.18
62-42,62,42,浪江,0.32,0.33
61-39,61,39,浪江,0.21,0.25
61-41,61,41,浪江,0.23,0.2
61-42,61,42,浪江,0.3,0.23
60-42,60,42,浪江,0.24,0.4
59-43,59,43,浪江,0.3,0.27
59-44,59,44,浪江,0.23,0.35
58-37,58,37,浪江,0.63,0.45
58-38,58,38,浪江,0.71,0.74
58-43,58,43,浪江,0.24,0.23
58-44,58,44,浪江,0.36,0.29
57-38,57,38,浪江,0.76,0.57
57-39,57,39,浪江,0.79,0.58
57-43,57,43,浪江,0.39,0.3
57-44,57,44,浪江,0.42,0.47
56-33,56,33,浪江,1.25,1.15
56-35,56,35,浪江,1.12,1
56-39,56,39,浪江,0.76,0.98
56-40,56,40,浪江,0.79,0.58
56-43,56,43,浪江,0.37,0.29
56-44,56,44,浪江,0.58,0.45
56-45,56,45,浪江,0.2,0.25
56-46,56,46,浪江,0.37,0.32
55-33,55,33,浪江,2.03,2.25
55-34,55,34,浪江,1.43,1.3
55-40,55,40,浪江,0.69,0.91
55-41,55,41,浪江,0.45,0.62
55-42,55,42,浪江,0.47,0.65
55-43,55,43,浪江,0.38,0.54
55-45,55,45,浪江,0.25,0.26
55-46,55,46,浪江,0.14,0.19
55-47,55,47,浪江,0.28,0.13
54-33,54,33,浪江,1.81,1.89
54-34,54,34,浪江,2.1,1.78
54-35,54,35,浪江,2.36,2.42
54-36,54,36,浪江,1.61,1.82
54-37,54,37,浪江,1.48,1.56
54-40,54,40,浪江,0.78,1.04
54-41,54,41,浪江,1.28,0.94
54-42,54,42,浪江,0.57,0.51
54-47,54,47,浪江,0.19,0.18
53-33,53,33,浪江,1.42,1.95
53-34,53,34,浪江,1.4,1.53
53-35,53,35,浪江,2.25,2.05
53-37,53,37,浪江,1.89,2.19
53-38,53,38,浪江,1.56,1.21
53-39,53,39,浪江,1.93,1.45
53-40,53,40,浪江,1.36,1.56
53-42,53,42,浪江,0.88,0.81
53-43,53,43,浪江,1.48,1.19
53-44,53,44,浪江,,
52-34,52,34,浪江,3.83,2.71
-,,,,1.95,2.15
52-35,52,35,浪江,1.92,2.02
52-35,52,35,浪江,,
52-36,52,36,浪江,1.85,2.05
52-37,52,37,浪江,2.16,2.53
52-38,52,38,浪江,1.39,1.17
52-42,52,42,浪江,0.71,0.75
52-43,52,43,浪江,1.1,1.25
52-44,52,44,浪江,0.65,0.47
51-34,51,34,浪江,1.8,2.36
51-35,51,35,浪江,2.58,2.2
51-37,51,37,浪江,1.7,1.9
51-39,51,39,浪江,1.41,1.5
51-40,51,40,浪江,2.3,2.49
51-42,51,42,浪江,0.97,1.04
50-34,50,34,浪江,1.35,2.33
-,,,,4.12,2.52
50-36,50,36,浪江,2.98,3.83
50-37,50,37,浪江,2.46,2.65
50-39,50,39,浪江,2.09,2.66
50-40,50,40,浪江,4.12,3.78
50-41,50,41,浪江,1.19,2.06
50-42,50,42,浪江,,
49-34,49,34,浪江,1.52,2.6
49-35,49,35,浪江,3.12,3.17
49-38,49,38,浪江,3.37,3.56
49-39,49,39,浪江,1.59,2.45
49-40,49,40,浪江,2.2,2.78
49-42,49,42,浪江,0.79,0.77
49-43,49,43,浪江,1.76,1.83
49-46,49,46,浪江,1.45,1.41
48-34,48,34,浪江,1.76,1.67
48-38,48,38,浪江,3.88,2.26
48-40,48,40,浪江,1.5,1.55
48-43,48,43,浪江,1.4,1.38
48-46,48,46,浪江,0.66,0.85
47-34,47,34,浪江,2.14,2.28
47-35,47,35,浪江,1.52,1.28
47-39,47,39,浪江,1.47,2.17
47-41,47,41,浪江,1.62,1.78
47-42,47,42,浪江,1.06,0.99
47-43,47,43,浪江,1.17,1.2
47-46,47,46,浪江,0.79,1
47-47,47,47,浪江,1.54,2.31
46-36,46,36,浪江,1.16,1.19
46-37,46,37,浪江,1.98,1.53
46-39,46,39,浪江,1.76,1.88
46-41,46,41,浪江,2.01,1.89
46-42,46,42,浪江,1.7,1.76
46-43,46,43,浪江,1.01,2.72
46-44,46,44,浪江,1.36,1.44
46-46,46,46,浪江,1.63,1.52
46-47,46,47,浪江,1.51,2.07
